ABC Motors Volkswagen of Hagerstown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL,,
Electronic,,,,,,,,,,,,,,,
Group TV,"$2,123.51","$2,736.51","$2,736.51","$3,676.47","$5,229.19","$4,759.71","$3,229.80","$3,229.80","$4,079.75","$4,079.75","$4,759.71","$4,759.71","$46,013.40",,
Television,,,,,,,,,,,,,$0.00,,
Cable,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Radio,,,,,,,,,,,,,$0.00,,
Group PVOD/ACR,$244.33,$244.33,$244.33,"$1,368.55","$2,384.51","$2,170.43","$1,245.68","$1,245.68","$1,708.05","$1,708.05","$2,170.43","$2,170.43","$16,904.81",,
Group Sponsorships,"$1,049.81",$769.25,"$1,113.37","$1,001.76",$0.00,$0.00,$0.00,$0.00,$605.00,$951.94,$951.94,$951.94,"$7,395.01",,
Agency Fee,$194.00,$291.22,$194.00,$194.00,$194.00,$194.00,$194.00,$194.00,$194.00,$194.00,$194.00,$194.00,"$2,425.22",,
Production,$200.00,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,$542.60,"$6,168.60",,
Total,"$4,424.65","$4,583.91","$4,830.81","$6,783.38","$8,350.30","$7,666.73","$5,212.08","$5,212.08","$7,129.40","$7,476.34","$8,618.67","$8,618.67","$78,907.04",,
Print,,,,,,,,,,,,,,,
Washington Post,,,,,,,,,,,,,$0.00,,
Store Specific Publications,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
Washington Auto Show Program,,$0.00,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
Total,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,
Direct Mail,,,,,,,,,,,,,,,
Database Mail,$0.00,$0.00,"$1,941.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,941.00",,
,,,,,,,,,,,,,$0.00,,
VIP - Equity,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
Conquest email/CBS,,,,,,,,,,,,,$0.00,,
Cap One Sale,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
Special event or other,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,$0.00,,
Total,$0.00,$0.00,"$1,941.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,941.00",,
